index,premium
1,310.0
2,1341.431147762468
3,310.0
4,310.0
5,310.0
6,310.0
7,310.0
8,310.0
9,310.0
10,310.0
11,310.0
12,310.0
13,310.0
14,310.0
15,310.0
16,310.0
17,310.0
18,3166.4393271149506
19,310.0
20,310.0
21,310.0
22,310.0
23,310.0
24,310.0
25,310.0
26,310.0
27,310.0
28,310.0
29,310.0
30,2029.2338910161195
31,310.0
32,310.0
33,310.0
34,310.0
35,342.8237006459998
36,743.8056273803204
37,310.0
38,310.0
39,1256.0990881992327
40,310.0
41,310.0
42,310.0
43,1095.5103251380697
44,310.0
45,310.0
46,310.0
47,1511.1974171922468
48,310.0
49,310.0
50,310.0
51,791.0269280056573
52,310.0
53,310.0
54,310.0
55,310.0
56,457.70503890327535
57,310.0
58,310.0
59,310.0
60,310.0
61,310.0
62,310.0
63,310.0
64,310.0
65,310.0
66,1530.9538670790325
67,310.0
68,310.0
69,310.0
70,310.0
71,1579.6081684327166
72,310.0
73,310.0
74,1747.7784620343637
75,310.0
76,1108.899253684185
77,310.0
78,310.0
79,310.0
80,310.0
81,310.0
82,310.0
83,310.0
84,310.0
85,310.0
86,310.0
87,310.0
88,310.0
89,310.0
90,310.0
91,310.0
92,310.0
93,310.0
94,310.0
95,310.0
96,310.0
97,310.0
98,310.0
99,310.0
100,310.0
101,1488.804905687137
102,310.0
103,310.0
104,310.0
105,310.0
106,310.0
107,310.0
108,310.0
109,310.0
110,310.0
111,310.0
112,310.0
113,310.0
114,310.0
115,310.0
116,345.0127340817183
117,310.0
118,310.0
119,310.0
120,310.0
121,310.0
122,310.0
123,310.0
124,310.0
125,310.0
126,464.1407965623046
127,1469.9470654380798
128,310.0
129,310.0
130,310.0
131,310.0
132,1153.4422073768553
133,310.0
134,310.0
135,310.0
136,310.0
137,310.0
138,310.0
139,310.0
140,310.0
141,310.0
142,310.0
143,310.0
144,1768.4067019846862
145,310.0
146,310.0
147,310.0
148,310.0
149,310.0
150,310.0
151,310.0
152,310.0
153,1770.265563024549
154,310.0
155,310.0
156,310.0
157,310.0
158,310.0
159,310.0
160,310.0
161,310.0
162,310.0
163,310.0
164,310.0
165,797.228859572693
166,310.0
167,310.0
168,310.0
169,310.0
170,310.0
171,1052.321079171139
172,310.0
173,310.0
174,310.0
175,310.0
176,310.0
177,310.0
178,321.69608717675635
179,310.0
180,310.0
181,310.0
182,310.0
183,310.0
184,1551.0934034207446
185,310.0
186,310.0
187,310.0
188,310.0
189,310.0
190,310.0
191,310.0
192,310.0
193,310.0
194,456.92841824764713
195,310.0
196,310.0
197,310.0
198,310.0
199,310.0
200,1773.132766409898
201,404.4714504245401
202,310.0
203,310.0
204,310.0
205,310.0
206,310.0
207,310.0
208,310.0
209,310.0
210,310.0
211,310.0
212,310.0
213,310.0
214,310.0
215,310.0
216,310.0
217,310.0
218,310.0
219,310.0
220,310.0
221,310.0
222,310.0
223,310.0
224,821.9846524919601
225,310.0
226,310.0
227,310.0
228,310.0
229,310.0
230,1161.2445325041979
231,310.0
232,310.0
233,310.0
234,310.0
235,310.0
236,1014.5144629345876
237,310.0
238,1369.1187446127738
239,310.0
240,310.0
241,310.0
242,310.0
243,310.0
244,310.0
245,1168.4915530739133
246,310.0
247,310.0
248,310.0
249,310.0
250,310.0
251,310.0
252,310.0
253,310.0
254,310.0
255,310.0
256,310.0
257,699.7327609885353
258,310.0
259,310.0
260,1123.491091497968
261,310.0
262,310.0
263,310.0
264,1886.6744819198486
265,310.0
266,310.0
267,310.0
268,310.0
269,384.40220690144
270,310.0
271,310.0
272,310.0
273,1721.3594857722594
274,310.0
275,310.0
276,310.0
277,1425.9088511120892
278,310.0
279,310.0
280,310.0
281,310.0
282,310.0
283,310.0
284,310.0
285,310.0
286,310.0
287,310.0
288,310.0
289,310.0
290,310.0
291,310.0
292,310.0
293,310.0
294,310.0
295,310.0
296,386.06324640931564
297,423.94039524282465
298,310.0
299,310.0
300,310.0
301,310.0
302,310.0
303,310.0
304,310.0
305,310.0
306,310.0
307,1242.9848385303592
308,310.0
309,310.0
310,310.0
311,310.0
312,310.0
313,310.0
314,310.0
315,1666.5479055145686
316,310.0
317,310.0
318,1768.6778546521014
319,310.0
320,310.0
321,310.0
322,310.0
323,310.0
324,1149.4353656583987
325,310.0
326,310.0
327,310.0
328,310.0
329,310.0
330,310.0
331,310.0
332,310.0
333,2203.5420466935493
334,310.0
335,310.0
336,310.0
337,310.0
338,310.0
339,310.0
340,310.0
341,310.0
342,310.0
343,310.0
344,310.0
345,304.3715836555252
346,310.0
347,310.0
348,310.0
349,310.0
350,310.0
351,310.0
352,310.0
353,310.0
354,310.0
355,310.0
356,310.0
357,310.0
358,310.0
359,310.0
360,310.0
361,419.2508615282215
362,310.0
363,310.0
364,310.0
365,2742.1701885899192
366,310.0
367,310.0
368,310.0
369,310.0
370,310.0
371,310.0
372,310.0
373,310.0
374,1915.4131246930954
375,310.0
376,327.3107454938727
377,310.0
378,310.0
379,310.0
380,1670.2287906024417
381,310.0
382,310.0
383,310.0
384,310.0
385,310.0
386,310.0
387,310.0
388,310.0
389,310.0
390,310.0
391,310.0
392,310.0
393,310.0
394,310.0
395,310.0
396,676.6906925728683
397,310.0
398,310.0
399,753.1471578763598
400,310.0
401,310.0
402,310.0
403,310.0
404,310.0
405,310.0
406,310.0
407,310.0
408,310.0
409,310.0
410,310.0
411,1004.1177715280207
412,310.0
413,1495.9957211712626
414,310.0
415,310.0
416,310.0
417,635.3107184036994
418,310.0
419,310.0
420,310.0
421,310.0
422,310.0
423,310.0
424,310.0
425,310.0
426,310.0
427,1055.6626020295867
428,310.0
429,310.0
430,310.0
431,310.0
432,310.0
433,310.0
434,310.0
